Variable,a,b,Type,To Reverse?,x
NXSENSOR,0,1,Binary (categories),0,None
NXTENDON,0,1,Binary (categories),0,None
NXPLANTA,0,1,Binary (categories),0,None
NXGAIT,0,1,Binary (categories),0,None
NXOTHER,0,1,Binary (categories),0,None
NPIATOT,1,12,Amounts,0,None
NPIBTOT,1,12,Amounts,0,None
NPICTOT,1,12,Amounts,0,None
NPIDTOT,1,12,Amounts,0,None
NPIETOT,1,12,Amounts,0,None
NPIFTOT,1,12,Amounts,0,None
NPIGTOT,1,12,Amounts,0,None
NPIHTOT,1,12,Amounts,0,None
NPIITOT,1,12,Amounts,0,None
NPIJTOT,1,12,Amounts,0,None
NPIKTOT,1,12,Amounts,0,None
NPILTOT,1,12,Amounts,0,None
NPITOTAL,12,144,Amounts,0,log
